site,date,year,death,yll,pop,tm,rh,tmax,tmin,PM10,dow,t
LocationA,2006-1-1,2006,5,201.1021,42372.4,-2.841537,27.81213,8.828936,-15.63177,171.4098,1,1
LocationA,2006-1-2,2006,2,78.99964,42372.4,-2.313567,23.26388,9.886562,-15.3266,169.7631,2,2
LocationA,2006-1-3,2006,2,121.3797,42372.4,-1.3776,21.72651,9.351252,-14.8477,190.0104,3,3
LocationA,2006-1-4,2006,1,74.05119,42372.4,-0.5382959,28.42084,6.737476,-15.65927,203.0423,4,4
LocationA,2006-1-5,2006,0,0,42372.4,-0.3043611,31.44896,8.166086,-14.80939,195.7857,5,5
LocationA,2006-1-6,2006,2,26.99148,42372.4,-1.26709,30.48893,7.906213,-15.26455,172.8577,6,6
LocationA,2006-1-7,2006,0,0,42372.4,-1.463604,29.60005,8.963101,-13.81426,174.2743,7,7
LocationA,2006-1-8,2006,1,3.40451,42372.4,-1.750459,26.29188,7.196886,-14.23463,173.5097,1,8
LocationA,2006-1-9,2006,1,10.39095,42372.4,-4.027574,24.39686,6.317625,-14.77788,157.0042,2,9
LocationA,2006-1-10,2006,1,74.05119,42372.4,-4.336655,23.79223,7.362782,-15.03817,156.4338,3,10
LocationA,2006-1-11,2006,1,25.56679,42372.4,-3.257864,24.81316,7.263657,-15.75263,166.5778,4,11
LocationA,2006-1-12,2006,1,0,42372.4,-3.556919,25.10439,5.779036,-16.33368,166.418,5,12
LocationA,2006-1-13,2006,1,11.71357,42372.4,-1.344715,17.96782,0.3443459,-9.135607,230.3024,6,13
LocationA,2006-1-14,2006,1,30.0593,42372.4,-3.626962,27.28922,0.3926905,-11.62356,185.3926,7,14
LocationA,2006-1-15,2006,2,27.99186,42372.4,-3.918284,34.42694,4.869542,-15.65332,170.1982,1,15
LocationA,2006-1-16,2006,0,0,42372.4,2.299833,18.42889,8.646288,-8.556091,233.2599,2,16
LocationA,2006-1-17,2006,0,0,42372.4,2.488906,25.03569,9.8766,-9.460525,222.2373,3,17
LocationA,2006-1-18,2006,1,9.00164,42372.4,4.619351,19.77455,7.989681,-3.930225,264.0995,4,18
LocationA,2006-1-19,2006,0,0,42372.4,3.85635,20.567,10.3188,-7.212575,223.0769,5,19
LocationA,2006-1-20,2006,1,23.04341,42372.4,3.303383,23.41078,10.54032,-9.129434,223.5089,6,20
LocationA,2006-1-21,2006,0,0,42372.4,3.223456,25.31997,10.42874,-10.7819,231.1908,7,21
LocationA,2006-1-22,2006,0,0,42372.4,3.839136,20.98986,7.578157,-8.315491,235.1329,1,22
LocationA,2006-1-23,2006,0,0,42372.4,3.04848,21.90908,8.129955,-7.076222,237.6786,2,23
LocationA,2006-1-24,2006,1,0,42372.4,0.4616473,22.02359,4.217677,-8.596649,224.1373,3,24
LocationA,2006-1-25,2006,0,0,42372.4,-3.508545,20.30454,-0.3246392,-11.97882,161.1594,4,25
LocationA,2006-1-26,2006,2,36.25263,42372.4,-5.407105,25.51532,1.69081,-16.48736,173.083,5,26
LocationA,2006-1-27,2006,1,21.22672,42372.4,-4.486659,25.07777,3.842131,-16.16769,163.1438,6,27
LocationA,2006-1-28,2006,2,86.78602,42372.4,-3.282451,23.96347,8.471415,-15.04255,164.4744,7,28
LocationA,2006-1-29,2006,1,9.00164,42372.4,0.08687922,20.13366,9.500186,-12.08565,199.2704,1,29
LocationA,2006-1-30,2006,1,18.87965,42372.4,-1.790474,30.64327,8.238975,-15.50242,151.3298,2,30
LocationA,2006-1-31,2006,0,0,42372.4,-1.178338,25.89343,11.05631,-14.073,157.5943,3,31
LocationA,2006-2-1,2006,2,111.0487,42372.4,0.000986746,22.97067,12.39142,-12.60218,197.1949,4,32
LocationA,2006-2-2,2006,0,0,42372.4,1.520553,29.99487,10.144,-11.90288,177.8824,5,33
LocationA,2006-2-3,2006,0,0,42372.4,3.175765,35.85722,10.09782,-8.678272,182.4307,6,34
LocationA,2006-2-4,2006,2,64.33098,42372.4,1.184642,28.53863,6.475576,-6.66024,330.354,7,35
LocationA,2006-2-5,2006,0,0,42372.4,-4.036058,29.17391,3.956675,-16.40673,163.3899,1,36
LocationA,2006-2-6,2006,0,0,42372.4,-2.073898,32.08448,7.815343,-15.7436,155.4646,2,37
LocationA,2006-2-7,2006,0,0,42372.4,0.3374893,33.01931,8.69146,-13.93229,179.1092,3,38
LocationA,2006-2-8,2006,1,11.71357,42372.4,3.006543,25.65877,7.029843,-8.764995,196.0557,4,39
LocationA,2006-2-9,2006,0,0,42372.4,1.456933,29.74346,5.736013,-9.617637,187.8193,5,40
LocationA,2006-2-10,2006,0,0,42372.4,-1.487411,39.31278,2.038268,-9.704005,173.508,6,41
LocationA,2006-2-11,2006,0,0,42372.4,-4.122154,31.5861,4.705465,-15.04859,158.8469,7,42
LocationA,2006-2-12,2006,0,0,42372.4,-1.307789,28.69038,8.547693,-13.1179,162.584,1,43
LocationA,2006-2-13,2006,0,0,42372.4,1.719426,32.08644,6.204557,-9.090633,200.1218,2,44
LocationA,2006-2-14,2006,1,18.87965,42372.4,2.96663,29.06541,3.916621,-8.089626,206.8063,3,45
LocationA,2006-2-15,2006,1,13.49574,42372.4,0.3218188,43.04442,1.758455,-9.974065,225.1499,4,46
LocationA,2006-2-16,2006,1,77.17059,42372.4,0.630272,50.78319,0.4287711,-9.293219,172.7505,5,47
LocationA,2006-2-17,2006,0,0,42372.4,-1.203334,51.85747,0.9009011,-11.85325,140.5937,6,48
LocationA,2006-2-18,2006,1,74.05119,42372.4,0.7873461,32.47232,6.954548,-11.89836,165.6757,7,49
LocationA,2006-2-19,2006,1,0,42372.4,4.572449,21.99926,10.23681,-5.444798,190.9898,1,50
LocationA,2006-2-20,2006,0,0,42372.4,3.880911,28.22166,11.28668,-8.765382,178.26,2,51
LocationA,2006-2-21,2006,1,0,42372.4,5.177234,31.23374,7.600886,-6.833375,188.0606,3,52
LocationA,2006-2-22,2006,0,0,42372.4,2.210436,31.65276,9.110633,-10.80499,190.6228,4,53
LocationA,2006-2-23,2006,0,0,42372.4,4.005078,32.23864,9.494915,-10.44639,186.914,5,54
LocationA,2006-2-24,2006,1,77.17059,42372.4,6.34917,27.26078,8.99109,-4.152636,235.7961,6,55
LocationA,2006-2-25,2006,1,2.99308,42372.4,2.78172,33.8389,10.09302,-11.4373,207.8126,7,56
LocationA,2006-2-26,2006,0,0,42372.4,3.491827,33.91033,9.337271,-10.71951,194.233,1,57
LocationA,2006-2-27,2006,0,0,42372.4,4.162568,34.46294,7.810574,-8.635105,209.1357,2,58
LocationA,2006-2-28,2006,1,74.05119,42372.4,3.606783,29.60282,8.503936,-8.739942,217.2196,3,59
LocationA,2006-3-1,2006,3,52.78521,42372.4,2.799591,24.33556,3.436579,-7.455317,239.3824,4,60
LocationA,2006-3-2,2006,1,11.71357,42372.4,0.2945387,25.34445,5.393718,-12.94697,163.5388,5,61
LocationA,2006-3-3,2006,1,23.04341,42372.4,2.071877,32.12856,5.220009,-8.053596,184.6095,6,62
LocationA,2006-3-4,2006,2,63.98665,42372.4,2.48311,30.22525,5.592919,-10.18635,181.674,7,63
LocationA,2006-3-5,2006,0,0,42372.4,2.016818,34.92817,3.381531,-8.001191,200.4555,1,64
LocationA,2006-3-6,2006,1,27.41205,42372.4,0.2330697,36.90772,1.143273,-8.054978,240.7302,2,65
LocationA,2006-3-7,2006,0,0,42372.4,-1.289698,46.73136,1.272498,-10.0977,172.9462,3,66
LocationA,2006-3-8,2006,0,0,42372.4,1.079389,39.0929,5.480554,-10.50532,182.9256,4,67
LocationA,2006-3-9,2006,1,36.5746,42372.4,2.342438,33.30469,8.379003,-10.92289,183.3824,5,68
LocationA,2006-3-10,2006,1,0,42372.4,5.583016,31.13793,9.649847,-8.736803,193.2623,6,69
LocationA,2006-3-11,2006,0,0,42372.4,6.404834,41.24115,6.199303,-4.354165,275.253,7,70
LocationA,2006-3-12,2006,1,15.02591,42372.4,3.730337,49.91715,2.065191,-6.277392,227.762,1,71
LocationA,2006-3-13,2006,3,116.1788,42372.4,-0.2604045,60.40297,2.671743,-10.93368,153.3816,2,72
LocationA,2006-3-14,2006,0,0,42372.4,-0.1408065,56.03207,4.86788,-11.68172,148.0495,3,73
LocationA,2006-3-15,2006,4,169.261,42372.4,2.977766,51.84132,6.877596,-9.568932,199.226,4,74
LocationA,2006-3-16,2006,0,0,42372.4,4.295964,41.00029,5.471852,-4.848096,261.0645,5,75
LocationA,2006-3-17,2006,0,0,42372.4,2.892253,38.52351,4.071993,-8.697692,263.5969,6,76
LocationA,2006-3-18,2006,1,74.05119,42372.4,2.075219,47.371,2.300582,-8.80944,208.2665,7,77
LocationA,2006-3-19,2006,1,15.02591,42372.4,0.05796084,51.77805,2.661517,-9.428332,238.1827,1,78
LocationA,2006-3-20,2006,2,53.18312,42372.4,0.2875062,39.35394,4.328784,-11.21487,200.014,2,79
LocationA,2006-3-21,2006,1,74.05119,42372.4,1.862922,34.68117,4.849551,-9.315914,246.1273,3,80
LocationA,2006-3-22,2006,3,57.61184,42372.4,2.566969,50.54054,3.975768,-7.782274,180.6439,4,81
LocationA,2006-3-23,2006,1,13.49574,42372.4,1.645538,56.16388,2.425592,-8.025772,176.9673,5,82
LocationA,2006-3-24,2006,1,74.05119,42372.4,2.88662,43.94014,7.909047,-9.771268,193.4443,6,83
LocationA,2006-3-25,2006,0,0,42372.4,5.371743,32.96656,8.375398,-7.532671,219.3901,7,84
LocationA,2006-3-26,2006,0,0,42372.4,5.814657,34.12589,6.533339,-4.112434,222.3337,1,85
LocationA,2006-3-27,2006,1,9.00164,42372.4,4.8689,34.93429,6.80036,-7.471124,204.5145,2,86
LocationA,2006-3-28,2006,1,21.22672,42372.4,5.024351,32.20403,6.732807,-7.740458,238.061,3,87
LocationA,2006-3-29,2006,1,0,42372.4,4.40355,31.50739,3.869628,-4.551539,253.4388,4,88
LocationA,2006-3-30,2006,2,67.86134,42372.4,1.062113,46.32607,2.332911,-8.145097,185.3507,5,89
LocationA,2006-3-31,2006,4,0,42372.4,1.220905,39.27552,6.983405,-12.32833,191.0061,6,90
LocationA,2006-4-1,2006,1,18.87965,42372.4,3.490652,42.34302,7.147375,-9.400144,180.9187,7,91
LocationA,2006-4-2,2006,1,0,42372.4,1.466636,75.87792,4.539097,-6.22555,172.9879,1,92
